community_id,state,county,product,doses_needed
CHUUK__EOT ISLAND,Chuuk,Eot Island,PedVaxHib,1
CHUUK__EOT ISLAND,Chuuk,Eot Island,Vaxelis,2
CHUUK__EOT ISLAND,Chuuk,Eot Island,Pediarix,1
CHUUK__EOT ISLAND,Chuuk,Eot Island,DTaP_Single,8
CHUUK__EOT ISLAND,Chuuk,Eot Island,IPV_Single,3
CHUUK__EOT ISLAND,Chuuk,Eot Island,MMR_Single,4
CHUUK__EOT ISLAND,Chuuk,Eot Island,Prevnar,3
CHUUK__EOT ISLAND,Chuuk,Eot Island,RotaTeq,0
CHUUK__ETAL,Chuuk,Etal,PedVaxHib,0
CHUUK__ETAL,Chuuk,Etal,Vaxelis,2
CHUUK__ETAL,Chuuk,Etal,Pediarix,1
CHUUK__ETAL,Chuuk,Etal,DTaP_Single,2
CHUUK__ETAL,Chuuk,Etal,IPV_Single,2
CHUUK__ETAL,Chuuk,Etal,MMR_Single,0
CHUUK__ETAL,Chuuk,Etal,Prevnar,2
CHUUK__ETAL,Chuuk,Etal,RotaTeq,1
CHUUK__FANAPANGES,Chuuk,Fanapanges,PedVaxHib,8
CHUUK__FANAPANGES,Chuuk,Fanapanges,Vaxelis,27
CHUUK__FANAPANGES,Chuuk,Fanapanges,Pediarix,18
CHUUK__FANAPANGES,Chuuk,Fanapanges,DTaP_Single,27
CHUUK__FANAPANGES,Chuuk,Fanapanges,IPV_Single,13
CHUUK__FANAPANGES,Chuuk,Fanapanges,MMR_Single,38
CHUUK__FANAPANGES,Chuuk,Fanapanges,Prevnar,38
CHUUK__FANAPANGES,Chuuk,Fanapanges,RotaTeq,3
CHUUK__FEFAN,Chuuk,Fefan,PedVaxHib,12
CHUUK__FEFAN,Chuuk,Fefan,Vaxelis,44
CHUUK__FEFAN,Chuuk,Fefan,Pediarix,23
CHUUK__FEFAN,Chuuk,Fefan,DTaP_Single,64
CHUUK__FEFAN,Chuuk,Fefan,IPV_Single,47
CHUUK__FEFAN,Chuuk,Fefan,MMR_Single,70
CHUUK__FEFAN,Chuuk,Fefan,Prevnar,65
CHUUK__FEFAN,Chuuk,Fefan,RotaTeq,8
CHUUK__FONOTON,Chuuk,Fonoton,PedVaxHib,3
CHUUK__FONOTON,Chuuk,Fonoton,Vaxelis,6
CHUUK__FONOTON,Chuuk,Fonoton,Pediarix,1
CHUUK__FONOTON,Chuuk,Fonoton,DTaP_Single,4
CHUUK__FONOTON,Chuuk,Fonoton,IPV_Single,2
CHUUK__FONOTON,Chuuk,Fonoton,MMR_Single,7
CHUUK__FONOTON,Chuuk,Fonoton,Prevnar,9
CHUUK__FONOTON,Chuuk,Fonoton,RotaTeq,0
CHUUK__HOUK,Chuuk,Houk,PedVaxHib,0
CHUUK__HOUK,Chuuk,Houk,Vaxelis,8
CHUUK__HOUK,Chuuk,Houk,Pediarix,0
CHUUK__HOUK,Chuuk,Houk,DTaP_Single,9
CHUUK__HOUK,Chuuk,Houk,IPV_Single,7
CHUUK__HOUK,Chuuk,Houk,MMR_Single,2
CHUUK__HOUK,Chuuk,Houk,Prevnar,8
CHUUK__HOUK,Chuuk,Houk,RotaTeq,3
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,PedVaxHib,1
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,Vaxelis,4
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,Pediarix,3
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,DTaP_Single,15
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,IPV_Single,11
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,MMR_Single,6
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,Prevnar,3
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,RotaTeq,0
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,PedVaxHib,2
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,Vaxelis,8
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,Pediarix,3
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,DTaP_Single,22
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,IPV_Single,18
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,MMR_Single,12
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,Prevnar,11
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,RotaTeq,1
CHUUK__MORTLOCK,Chuuk,Mortlock,PedVaxHib,6
CHUUK__MORTLOCK,Chuuk,Mortlock,Vaxelis,15
CHUUK__MORTLOCK,Chuuk,Mortlock,Pediarix,1
CHUUK__MORTLOCK,Chuuk,Mortlock,DTaP_Single,15
CHUUK__MORTLOCK,Chuuk,Mortlock,IPV_Single,2
CHUUK__MORTLOCK,Chuuk,Mortlock,MMR_Single,27
CHUUK__MORTLOCK,Chuuk,Mortlock,Prevnar,18
