community_id,state,state_join,county,county_join,child_population,source_patient_communities,source_patient_community_n,children_not_utd,proportion_not_utd,utd_coverage,utd_no_mmr_coverage,mmr_eligible_n,mmr_not_utd_n,mmr_coverage,median_months_since_vax,mean_individual_risk,median_individual_risk,p75_individual_risk,high_risk_n,high_risk_percent,latitude_patient,longitude_patient,census_region,census_total,census_under5,latitude_census,longitude_census,area_m2,area_km2,population_density_km2,under5_density_km2,census_source_communities,census_source_n,region,latitude,longitude,remoteness,access_component,median_risk_component,p75_risk_component,high_risk_percent_component,community_patient_risk_component,log_population_density,density_percentile_component,low_density_component,high_density_component,population_density_missing,low_density_component_for_score,high_density_component_for_score,transmission_component,burden_component,priority_score,priority_rank,priority_group,data_quality_flag,routing_ready
POHNPEI__PINGILAP,Pohnpei,POHNPEI,Pingilap,PINGILAP,7,Pingilap,1,6,85.71428571428571,14.285714285714285,14.285714285714285,6,4,33.33333333333333,16.854209445585216,47.097389263713715,63.1222906684919,71.4613278576318,2,28.57142857142857,6.208137,160.706672,Outer,258,20,6.2130600000000005,160.69899999999998,628666,0.628666,410.3927999923648,31.813395348245336,Pingilap,1,Outer,6.208137,160.706672,0,0,63.1222906684919,71.4613278576318,28.57142857142857,57.87992568690722,6.019548475831787,53.70370370370371,46.29629629629629,53.70370370370371,FALSE,46.29629629629629,53.70370370370371,31.08366379482055,23.510646924747014,54.7,1,High,Ready,TRUE
POHNPEI__SAPWUAHFIK,Pohnpei,POHNPEI,Sapwuahfik,SAPWUAHFIK,14,Sapwuahfik,1,14,100,0,0,14,6,57.14285714285714,25.100616016427104,40.611290375150745,18.5945699292722,72.4309833447411,6,42.857142857142854,5.87550705971523,157.23112339361063,Outer,456,70,5.789080424,157.1570447,42295,0.042295,10781.416243054735,1655.0419671355953,Sapwuahfik,1,Outer,5.87550705971523,157.23112339361063,1,100,18.5945699292722,72.4309833447411,42.857142857142854,34.214367197940106,9.285671960632309,98.14814814814815,1.8518518518518476,98.14814814814815,FALSE,1.8518518518518476,98.14814814814815,33.58076780538566,41.64308640419936,34.8,2,High,Ready,TRUE
YAP__NGULU,Yap,YAP,Ngulu,NGULU,2,Ngulu,1,2,100,0,0,2,1,50,9.00205338809035,33.751425963951625,33.751425963951625,47.26186402007756,0,0,8.298931,137.488457,Outer,6,1,8.2975,137.49,142417,0.142417,42.129801919714644,7.021633653285774,Ngulu,1,Outer,8.298931,137.488457,1,100,33.751425963951625,47.26186402007756,0,29.703228382386484,3.7642142180156477,31.48148148148148,68.51851851851852,31.48148148148148,FALSE,68.51851851851852,31.48148148148148,9.351016342603153,0,28.8,3,High,Small denominator,TRUE
YAP__ZZ-UNKNOWN-YAP,Yap,YAP,Zz-Unknown-Yap,ZZ-UNKNOWN-YAP,7,Zz-Unknown-Yap,1,1,14.285714285714285,85.71428571428571,85.71428571428571,7,1,85.71428571428571,30.258726899383984,35.16590072031553,31.316449920146,32.696783025325146,1,14.285714285714285,,,,,,,,,,,,,,,,,0,0,31.316449920146,32.696783025325146,14.285714285714285,28.186369414295488,,,,,TRUE,50,50,14.093184707147744,14.833566670536177,27,4,High,Missing coordinates,FALSE
CHUUK__SATAWAN ATOLL,Chuuk,CHUUK,Satawan Atoll,SATAWAN ATOLL,43,Satawan Atoll,1,21,48.837209302325576,51.162790697674424,51.162790697674424,36,10,72.22222222222221,16.32854209445585,31.214655991170954,25.7494866529774,34.43075519050875,7,16.27906976744186,5.931147764388508,153.1723207025043,Outer,2220,193,,,3143589,3.143589,706.1991882526628,61.3947942940378,Kuttu; Moch; Satawan; Ta,4,Outer,5.931147764388508,153.1723207025043,1,100,25.7494866529774,34.43075519050875,16.27906976744186,25.59165698337656,6.561312363490002,68.51851851851852,31.48148148148148,68.51851851851852,FALSE,31.48148148148148,68.51851851851852,17.535024229350608,44.50070001160852,26.8,5,High,Ready,TRUE
YAP__RUMUNG,Yap,YAP,Rumung,RUMUNG,2,Rumung,1,0,0,100,100,2,0,100,,33.83755418663015,33.83755418663015,34.35660506502393,0,0,9.62621417424155,138.152793861176,Main,58,9,9.623059999999999,138.16,4007918,4.007918,14.471353954846382,2.245554924027887,Rumung,1,Main,9.62621417424155,138.152793861176,0,0,33.83755418663015,34.35660506502393,0,27.173853524982874,2.7389901820768867,11.11111111111111,88.88888888888889,11.11111111111111,FALSE,88.88888888888889,11.11111111111111,3.0193170583314304,0,25.5,6,High,Small denominator,TRUE
POHNPEI__NETT,Pohnpei,POHNPEI,Nett,NETT,1045,Nett,1,524,50.143540669856456,49.856459330143544,50.23923444976076,965,169,82.48704663212435,13.585215605749486,28.118996077712172,22.600958247775502,34.2368240930869,106,10.143540669856458,6.933758620647619,158.25268356513857,Main,6639,758,6.9541699999999995,158.22299999999998,347455069,347.455069,19.107506530578203,2.1815770372312513,Nett,1,Main,6.933758620647619,158.25268356513857,0,0,22.600958247775502,34.2368240930869,10.143540669856458,22.436647901253973,3.001093204579235,20.37037037037037,79.62962962962963,20.37037037037037,FALSE,79.62962962962963,20.37037037037037,4.570428276181365,100,25.2,7,High,Ready,TRUE
POHNPEI__KOLONIA,Pohnpei,POHNPEI,Kolonia,KOLONIA,727,Kolonia,1,312,42.91609353507565,57.08390646492435,57.22145804676754,647,91,85.93508500772798,14.225872689938399,28.521577835585227,25,34.8528405201917,41,5.639614855570839,6.903967430597994,158.16135785551486,Main,6074,652,6.96389,158.208,347455069,347.455069,17.48139699754963,1.8765016204152718,Kolonia,1,Main,6.903967430597994,158.16135785551486,0,0,25,34.8528405201917,5.639614855570839,23.098491075152506,2.9167646584618714,14.814814814814813,85.18518518518519,14.814814814814813,FALSE,85.18518518518519,14.814814814814813,3.421998677800371,79.98729999948254,25,8,High,Ready,TRUE
KOSRAE__TAFUNSAK,Kosrae,KOSRAE,Tafunsak,TAFUNSAK,186,Tafunsak,1,42,22.58064516129032,77.41935483870968,77.41935483870968,164,14,91.46341463414635,12.02464065708419,29.944353673405804,30.9742185717545,34.0543007072781,1,0.5376344086021506,5.362772083956091,162.9818994033944,Main,2173,290,5.36667,162.983,108023755.92708501,108.023755927085,20.11594562094984,2.68459467559846,Tafunsak,1,Main,5.362772083956091,162.9818994033944,0,0,30.9742185717545,34.0543007072781,0.5376344086021506,25.50291816622875,3.050028471704684,25.925925925925924,74.07407407407408,25.925925925925924,FALSE,74.07407407407408,25.925925925925924,6.611867672725972,14.833566670536177,24.6,9,High,Ready,TRUE
POHNPEI__U,Pohnpei,POHNPEI,U,U,312,U,1,105,33.65384615384615,66.34615384615384,66.66666666666666,274,34,87.59124087591242,10.611909650924025,28.852673060835283,26.2057951174994,36.27310061601642,11,3.5256410256410255,6.9439149165729575,158.27714159970074,Main,3192,333,6.95028,158.271,347455069,347.455069,9.186799344118938,0.9583972999973703,U,1,Main,6.9439149165729575,158.27714159970074,0,0,26.2057951174994,36.27310061601642,3.5256410256410255,23.683225398831127,2.321092700164396,5.555555555555555,94.44444444444444,5.555555555555555,FALSE,94.44444444444444,5.555555555555555,1.3157347443795069,53.177780265819365,24.4,10,High,Ready,TRUE
