community_id,state,county,vaccine,eligible_children,children_utd,children_due,vaccine_coverage
CHUUK__EOT ISLAND,Chuuk,Eot Island,DTaP,28,17,11,60.714285714285715
CHUUK__EOT ISLAND,Chuuk,Eot Island,HepB,28,26,2,92.85714285714286
CHUUK__EOT ISLAND,Chuuk,Eot Island,Hib,28,23,5,82.14285714285714
CHUUK__EOT ISLAND,Chuuk,Eot Island,IPV,28,22,6,78.57142857142857
CHUUK__EOT ISLAND,Chuuk,Eot Island,MMR,26,26,0,100
CHUUK__EOT ISLAND,Chuuk,Eot Island,PCV,28,24,4,85.71428571428571
CHUUK__ETAL,Chuuk,Etal,DTaP,5,1,4,20
CHUUK__ETAL,Chuuk,Etal,HepB,5,4,1,80
CHUUK__ETAL,Chuuk,Etal,Hib,5,4,1,80
CHUUK__ETAL,Chuuk,Etal,IPV,5,1,4,20
CHUUK__ETAL,Chuuk,Etal,MMR,3,3,0,100
CHUUK__ETAL,Chuuk,Etal,PCV,5,4,1,80
CHUUK__FANAPANGES,Chuuk,Fanapanges,DTaP,171,89,82,52.046783625730995
CHUUK__FANAPANGES,Chuuk,Fanapanges,HepB,171,132,39,77.19298245614036
CHUUK__FANAPANGES,Chuuk,Fanapanges,Hib,171,119,52,69.5906432748538
CHUUK__FANAPANGES,Chuuk,Fanapanges,IPV,171,114,57,66.66666666666667
CHUUK__FANAPANGES,Chuuk,Fanapanges,MMR,156,129,27,82.6923076923077
CHUUK__FANAPANGES,Chuuk,Fanapanges,PCV,171,124,47,72.51461988304094
CHUUK__FEFAN,Chuuk,Fefan,DTaP,382,237,145,62.04188481675393
CHUUK__FEFAN,Chuuk,Fefan,HepB,382,337,45,88.21989528795811
CHUUK__FEFAN,Chuuk,Fefan,Hib,382,270,112,70.68062827225131
CHUUK__FEFAN,Chuuk,Fefan,IPV,382,276,106,72.25130890052355
CHUUK__FEFAN,Chuuk,Fefan,MMR,339,299,40,88.20058997050147
CHUUK__FEFAN,Chuuk,Fefan,PCV,382,308,74,80.6282722513089
CHUUK__FONOTON,Chuuk,Fonoton,DTaP,28,15,13,53.57142857142857
CHUUK__FONOTON,Chuuk,Fonoton,HepB,28,23,5,82.14285714285714
CHUUK__FONOTON,Chuuk,Fonoton,Hib,28,16,12,57.142857142857146
CHUUK__FONOTON,Chuuk,Fonoton,IPV,28,18,10,64.28571428571429
CHUUK__FONOTON,Chuuk,Fonoton,MMR,21,19,2,90.47619047619048
CHUUK__FONOTON,Chuuk,Fonoton,PCV,28,18,10,64.28571428571429
CHUUK__HOUK,Chuuk,Houk,DTaP,17,1,16,5.882352941176471
CHUUK__HOUK,Chuuk,Houk,HepB,17,12,5,70.58823529411765
CHUUK__HOUK,Chuuk,Houk,Hib,17,8,9,47.05882352941177
CHUUK__HOUK,Chuuk,Houk,IPV,17,3,14,17.647058823529413
CHUUK__HOUK,Chuuk,Houk,MMR,9,9,0,100
CHUUK__HOUK,Chuuk,Houk,PCV,17,9,8,52.94117647058823
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,DTaP,39,19,20,48.717948717948715
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,HepB,39,34,5,87.17948717948718
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,Hib,39,30,9,76.92307692307692
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,IPV,39,23,16,58.97435897435897
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,MMR,35,31,4,88.57142857142857
CHUUK__LOSAP ATOLL,Chuuk,Losap Atoll,PCV,39,32,7,82.05128205128206
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,DTaP,52,24,28,46.15384615384615
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,HepB,52,45,7,86.53846153846153
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,Hib,52,39,13,75
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,IPV,52,26,26,50
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,MMR,49,42,7,85.71428571428571
CHUUK__LUKUNOR ATOLL,Chuuk,Lukunor Atoll,PCV,52,41,11,78.84615384615384
CHUUK__MORTLOCK,Chuuk,Mortlock,DTaP,317,277,40,87.38170347003154
CHUUK__MORTLOCK,Chuuk,Mortlock,HepB,317,302,15,95.26813880126183
CHUUK__MORTLOCK,Chuuk,Mortlock,Hib,317,266,51,83.91167192429022
CHUUK__MORTLOCK,Chuuk,Mortlock,IPV,317,293,24,92.42902208201893
CHUUK__MORTLOCK,Chuuk,Mortlock,MMR,283,274,9,96.81978798586573
CHUUK__MORTLOCK,Chuuk,Mortlock,PCV,317,291,26,91.7981072555205
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,DTaP,32,14,18,43.75
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,HepB,32,26,6,81.25
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,Hib,32,23,9,71.875
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,IPV,32,15,17,46.875
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,MMR,27,22,5,81.48148148148148
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,PCV,32,24,8,75
CHUUK__NAMOLUK,Chuuk,Namoluk,DTaP,14,5,9,35.714285714285715
CHUUK__NAMOLUK,Chuuk,Namoluk,HepB,14,12,2,85.71428571428571
CHUUK__NAMOLUK,Chuuk,Namoluk,Hib,14,10,4,71.42857142857143
CHUUK__NAMOLUK,Chuuk,Namoluk,IPV,14,8,6,57.142857142857146
CHUUK__NAMOLUK,Chuuk,Namoluk,MMR,12,12,0,100
CHUUK__NAMOLUK,Chuuk,Namoluk,PCV,14,12,2,85.71428571428571
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,DTaP,64,4,60,6.25
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,HepB,64,33,31,51.5625
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,Hib,64,23,41,35.9375
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,IPV,64,9,55,14.0625
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,MMR,40,25,15,62.5
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,PCV,64,26,38,40.625
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,DTaP,17,2,15,11.764705882352942
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,HepB,17,12,5,70.58823529411765
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,Hib,17,10,7,58.8235294117647
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,IPV,17,4,13,23.529411764705884
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,MMR,13,10,3,76.92307692307692
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,PCV,17,10,7,58.8235294117647
CHUUK__NORTHWEST,Chuuk,Northwest,DTaP,400,340,60,85
