State,Region,Atoll,Name,Type,Latitude,Longitude,H3_res5,H3_res6
Chuuk,Main,,Aleon Pass,Reef pass,7.21558486621,151.82123396,8577314bfffffff,8677314b7ffffff
Chuuk,Main,,Chuuk International Airport,Airport,7.45809135234,151.841224282,85773153fffffff,86773151fffffff
Chuuk,Main,,Eot Boat Pier,Pier,7.383031,151.740739,8577315bfffffff,8677315a7ffffff
Chuuk,Main,,Epin Uratiw,Reef pass,7.23836350662,151.618453984,8577302ffffffff,8677302dfffffff
Chuuk,Main,,Epin Uratiw,Reef pass,7.23753020149,151.618176178,8577302ffffffff,8677302dfffffff
Chuuk,Main,,Fanusamoz Pass,Reef pass,7.21864068443,151.762899926,85773397fffffff,86773396fffffff
Chuuk,Main,,Faro Boat Basin,Boat Basin,7.327581,151.630858,8577302ffffffff,8677302c7ffffff
Chuuk,Main,,Fason Pier,Pier,7.343511,151.634628,8577302ffffffff,8677302efffffff
Chuuk,Main,,Ilick Harbor,Harbor,7.332161,151.563736,8577302ffffffff,8677302f7ffffff
Chuuk,Main,,JP Army Docks,Dock,7.37525,151.707017,8577315bfffffff,8677315b7ffffff
Chuuk,Main,,JP Aun Pier,Pier,7.334719,151.852128,85773143fffffff,86773158fffffff
Chuuk,Main,,JP Coal Dock,Dock,7.363569,151.883178,85773143fffffff,867731437ffffff
Chuuk,Main,,JP Main Oil Dock WW2,Dock,7.366231,151.886794,85773143fffffff,867731437ffffff
Chuuk,Main,,JP Nepinom Pier,Pier,7.445392,151.899058,85773143fffffff,867731427ffffff
Chuuk,Main,,JP Penia Pier WW2,Pier,7.454161,151.882767,85773153fffffff,86773150fffffff
Chuuk,Main,,JP Sapota Pier,Pier,7.316481,151.853317,85773143fffffff,86773158fffffff
Chuuk,Main,,JP Sapou Pier,Pier,7.286081,151.878236,8577314bfffffff,867731417ffffff
Chuuk,Main,,Local Fishery Basin,Boat Basin,7.447661,151.841386,85773153fffffff,86773151fffffff
Chuuk,Main,,Mochen Eparit,Reef pass,7.66364347204,151.86123603,857731cffffffff,867731cc7ffffff
Chuuk,Main,,Mochenap,Reef pass,7.50614197864,151.965958792,85773157fffffff,867731547ffffff
Chuuk,Main,,Mochon Boat Pier,Pier,7.31,151.884233,85773143fffffff,867731417ffffff
Chuuk,Main,,Mochonap,Reef pass,7.68169938058,151.787901875,857731cbfffffff,867731cafffffff
Chuuk,Main,,Mochun Anaw,Reef pass,7.5711434914,151.681233653,857731cbfffffff,867731c97ffffff
Chuuk,Main,,Mochun Fanananei,Reef pass,7.43725407824,151.552620614,85773023fffffff,86773020fffffff
Chuuk,Main,,Mochun Fanew,Reef pass,7.22752955401,151.790678063,8577314bfffffff,8677314b7ffffff
Chuuk,Main,,Mochun Fein,Reef pass,7.22225102421,151.992624753,8577314ffffffff,8677314c7ffffff
Chuuk,Main,,Mochun Fouichen,Reef pass,7.53392109438,151.634010782,85773027fffffff,867730267ffffff
Chuuk,Main,,Mochun Mutukun,Reef pass,7.14836193767,151.897345665,8577314bfffffff,86773149fffffff
Chuuk,Main,,Mochun Nenno,Reef pass,7.13391735722,151.89123445,8577314bfffffff,86773149fffffff
Chuuk,Main,,Mochun Nenom,Reef pass,7.40864293119,151.505119973,85773023fffffff,86773021fffffff
Chuuk,Main,,Mochun Nepis,Reef pass,7.22752986429,151.698177038,85773397fffffff,867733967ffffff
Chuuk,Main,,Mochun Neuri,Reef pass,7.21391757453,151.9904024,8577314ffffffff,8677314d7ffffff
Chuuk,Main,,Mochun Ocha,Reef pass,7.15558424134,151.881512217,8577314bfffffff,86773149fffffff
Chuuk,Main,,Mochun Ochopach,Reef pass,7.51808773649,151.618177145,85773027fffffff,867730267ffffff
Chuuk,Main,,Mochun Pianu,Reef pass,7.35058714483,151.432618948,8577302bfffffff,8677302a7ffffff
Chuuk,Main,,Mochun Pisamwe,Reef pass,7.63447724644,151.681233888,857731cbfffffff,867731cb7ffffff
Chuuk,Main,,Mochun Pisininin,Reef pass,7.6455884273,151.680956126,857731cbfffffff,867731cb7ffffff
Chuuk,Main,,Mochun Pweynap,Reef pass,7.28614178942,151.577620383,8577302ffffffff,8677302d7ffffff
Chuuk,Main,,Mochun Sopweru,Reef pass,7.65336551888,151.882347326,857731cffffffff,867731cc7ffffff
Chuuk,Main,,Mochun Tauanap,Reef pass,7.47586533803,151.587621147,85773027fffffff,867730277ffffff
Chuuk,Main,,Mochun Tawanap,Reef pass,7.14919525282,151.894567838,8577314bfffffff,86773149fffffff
Chuuk,Main,,Mochun Unen,Reef pass,7.54308783964,151.639844181,85773027fffffff,867730267ffffff
Chuuk,Main,,Mochun Unikar,Reef pass,7.18002864208,151.960957564,8577314ffffffff,8677314d7ffffff
Chuuk,Main,,Mochun Uranu,Reef pass,7.52447666888,151.622066112,85773027fffffff,867730267ffffff
Chuuk,Main,,Mochun Wininen,Reef pass,7.17141742515,151.948457399,857733b3fffffff,867733b27ffffff
Chuuk,Main,,Mochun Winion,Reef pass,7.23891767573,152.010680507,8577314ffffffff,8677314c7ffffff
Chuuk,Main,,Mochun Winipiru,Reef pass,7.29697523501,151.557620193,8577302ffffffff,8677302d7ffffff
Chuuk,Main,,Mokuchis,Reef pass,7.67503284881,151.757623807,857731cbfffffff,867731cafffffff
Chuuk,Main,,Munien Blasted Boat Channel,Channel,7.319731,151.616075,8577302ffffffff,8677302c7ffffff
Chuuk,Main,,Mwanitiw Boat Pier,Pier,7.378831,151.704147,8577315bfffffff,8677315b7ffffff
Chuuk,Main,,Namun Nenomonen,Channel,7.46197534145,151.865957523,85773153fffffff,86773150fffffff
Chuuk,Main,,Namun Tawanap,Channel,7.46503096996,151.864013113,85773153fffffff,86773150fffffff
Chuuk,Main,,Neout,Channel,7.35197547066,151.606787534,8577302ffffffff,8677302c7ffffff
Chuuk,Main,,Netutu,Channel,7.36197550916,151.616787681,8577302ffffffff,8677302efffffff
Chuuk,Main,,Penia Pier,Pier,7.393069,151.708175,8577315bfffffff,86773025fffffff
Chuuk,Main,,Piis Pier,Pier,7.676981,151.767653,857731cbfffffff,867731cafffffff
Chuuk,Main,,Pispis Pass,Reef pass,7.2144737198,151.832622981,8577314bfffffff,8677314b7ffffff
Chuuk,Main,,Pizion Pass,Reef pass,7.19280684186,151.84012299,8577314bfffffff,867731497ffffff
Chuuk,Main,,Ramanum Pier,Pier,7.406569,151.673461,85773027fffffff,86773025fffffff
Chuuk,Main,,Sapotiw Pier,Pier,7.293289,151.888947,85773143fffffff,867731417ffffff
Chuuk,Main,,Siis Anchorage,Anchorage,7.296411,151.816161,8577315bfffffff,86773159fffffff
Chuuk,Main,,South Pass,Reef pass,7.22558500267,151.801789279,8577314bfffffff,8677314b7ffffff
Chuuk,Main,,Truk Stop Pier,Pier,7.442161,151.838378,85773153fffffff,86773151fffffff
