community_id,state,county,state_join,county_join,source_patient_communities,child_population,latitude,longitude
CHUUK__FEFAN,Chuuk,Fefan,CHUUK,FEFAN,Fefan,382,7.348073338651832,151.84059539397904
CHUUK__MORTLOCK,Chuuk,Mortlock,CHUUK,MORTLOCK,Mortlock,35,6.3723156948,152.94845801714285
CHUUK__NORTHWEST,Chuuk,Northwest,CHUUK,NORTHWEST,Northwest,54,7.936279118240741,150.89873828703705
CHUUK__ONEI,Chuuk,Onei,CHUUK,ONEI,Onei,95,7.429463702936842,151.63184359894737
KOSRAE__WALUNG,Kosrae,Walung,KOSRAE,WALUNG,Walung,7,5.310321616,162.922182
KOSRAE__WEELOEY,Kosrae,Weeloey,KOSRAE,WEELOEY,Weeloey,1,9.533333,138.1125
POHNPEI__ELATO ISLAND,Pohnpei,Elato Island,POHNPEI,ELATO ISLAND,Elato Island,1,7.511061,146.172352
POHNPEI__RUUL,Pohnpei,Ruul,POHNPEI,RUUL,Ruul,1,9.494444,138.093611
YAP__DALIPEEBINAEW,Yap,Dalipeebinaew,YAP,DALIPEEBINAEW,Dalipeebinaew,39,9.440496564102565,138.21679738461538
YAP__FARAULAP,Yap,Faraulap,YAP,FARAULAP,Faraulap,1,8.590362204,144.5224492
YAP__TAMIL,Yap,Tamil,YAP,TAMIL,Tamil,150,9.408046713333334,138.54139273333334
