ship_name,route_name,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon
Hapilmohol2,Yap Regular Run,Woneedaey Reef Pass,Ulithi 1,9.490030484,138.131885,9.758158,139.688315
Hapilmohol2,Yap Regular Run,Ulithi 1,Dochirichi Channel,9.758158,139.688315,10.024278,139.781043
Hapilmohol2,Yap Regular Run,Dochirichi Channel,Ulithi 2,10.024278,139.781043,10.024142,139.80649
Hapilmohol2,Yap Regular Run,Ulithi 2,Fais 1,10.024142,139.80649,9.746857,140.489001
Hapilmohol2,Yap Regular Run,Fais 1,Eauripik 1,9.746857,140.489001,6.700715,143.091726
Hapilmohol2,Yap Regular Run,Eauripik 1,Raur Channel,6.700715,143.091726,7.341075,143.89848
Hapilmohol2,Yap Regular Run,Raur Channel,Ifalik 1,7.341075,143.89848,7.277105,144.460209
Hapilmohol2,Yap Regular Run,Ifalik 1,Faraulep 1,7.277105,144.460209,8.578948,144.509325
Hapilmohol2,Yap Regular Run,Faraulep 1,Elato 1,8.578948,144.509325,7.531149,146.177825
Hapilmohol2,Yap Regular Run,Elato 1,Lamotrek 1,7.531149,146.177825,7.46075,146.312481
Hapilmohol2,Yap Regular Run,Lamotrek 1,Satawal 1,7.46075,146.312481,7.397121,147.02584
Caroline Voyager,Northwest Islands,Mochenap Reef Pass,Murilo 1,7.506141979,151.9659588,8.677048,152.34726
Caroline Voyager,Northwest Islands,Murilo 1,Ruo 1,8.677048,152.34726,8.59864,152.24495
Caroline Voyager,Northwest Islands,Ruo 1,Murilo Deep Pass,8.59864,152.24495,8.573615,152.058676
Caroline Voyager,Northwest Islands,Murilo Deep Pass,Fananu 1,8.573615,152.058676,8.550857,151.906519
Caroline Voyager,Northwest Islands,Fananu 1,Nomwin 1,8.550857,151.906519,8.424116,151.747175
Caroline Voyager,Northwest Islands,Nomwin 1,Pisaras 1,8.424116,151.747175,8.562013,150.42999
Caroline Voyager,Northwest Islands,Pisaras 1,Onari 1,8.562013,150.42999,8.756155,150.35609
Caroline Voyager,Northwest Islands,Onari 1,Ono 1,8.756155,150.35609,8.805269,150.313025
Caroline Voyager,Northwest Islands,Ono 1,Magur 1,8.805269,150.313025,9.006871,150.132544
Caroline Voyager,Northwest Islands,Magur 1,Onoun 1,9.006871,150.132544,8.583104,149.660647
Caroline Voyager,Northwest Islands,Onoun 1,Pulap 1,8.583104,149.660647,7.639418,149.447526
Caroline Voyager,Northwest Islands,Pulap 1,Tamatam 1,7.639418,149.447526,7.526432,149.446153
Caroline Voyager,Northwest Islands,Tamatam 1,Pulawat 1,7.526432,149.446153,7.327698,149.201602
Caroline Voyager,Northwest Islands,Pulawat 1,Houk 1,7.327698,149.201602,6.70941,149.299449
Caroline Voyager,Yap State Regular Run,Pohnpei Port,Sokehs Pass,6.980321452,158.1995604,6.999704349,158.1791132
Caroline Voyager,Yap State Regular Run,Sokehs Pass,Pohnpei 1,6.999704349,158.1791132,7.01745,158.142289
Caroline Voyager,Yap State Regular Run,Pohnpei 1,Oroluk 1,7.01745,158.142289,7.650386,155.143892
Caroline Voyager,Yap State Regular Run,Oroluk 1,Mochenap Reef Pass,7.650386,155.143892,7.506141979,151.9659588
Caroline Voyager,Yap State Regular Run,Mochenap Reef Pass,Chuuk Lagoon 1,7.506141979,151.9659588,7.499201,151.844608
Caroline Voyager,Yap State Regular Run,Chuuk Lagoon 1,Chuuk Lagoon 2,7.499201,151.844608,7.455969,151.827614
Caroline Voyager,Yap State Regular Run,Chuuk Lagoon 2,Weno Port,7.455969,151.827614,7.445958983,151.8401653
